{'ep': 0, 'timesteps': 6, 'ep_reward': 6.0}
{'ep': 100, 'timesteps': 6, 'ep_reward': 6.0}
{'ep': 200, 'timesteps': 24, 'ep_reward': 24.0}
{'ep': 300, 'timesteps': 51, 'ep_reward': 51.0}
{'ep': 400, 'timesteps': 78, 'ep_reward': 78.0}
{'ep': 500, 'timesteps': 65, 'ep_reward': 65.0}
{'ep': 600, 'timesteps': 165, 'ep_reward': 165.0}
{'ep': 700, 'timesteps': 267, 'ep_reward': 267.0}
{'ep': 800, 'timesteps': 199, 'ep_reward': 199.0}
{'ep': 900, 'timesteps': 59, 'ep_reward': 59.0}
{'ep': 1000, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1100, 'timesteps': 507, 'ep_reward': 507.0}
{'ep': 1200, 'timesteps': 601, 'ep_reward': 601.0}
{'ep': 1300, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1400, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1500, 'timesteps': 777, 'ep_reward': 777.0}
{'ep': 1600, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1700, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1800, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1900, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 2000, 'timesteps': 1000, 'ep_reward': 1000.0}
