/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.038461538461538464, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 22.578}
{'episode': 1000, 'epsilon': 0.0196078431372549, 'ep_reward': 28.0, 'timesteps': 28, 'ep_reward_avg': 24.266}
{'episode': 1500, 'epsilon': 0.013157894736842105, 'ep_reward': 20.0, 'timesteps': 20, 'ep_reward_avg': 24.964}
{'episode': 2000, 'epsilon': 0.009900990099009901, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 26.96}
{'episode': 2500, 'epsilon': 0.007936507936507936, 'ep_reward': 19.0, 'timesteps': 19, 'ep_reward_avg': 27.906}
{'episode': 3000, 'epsilon': 0.006622516556291391, 'ep_reward': 19.0, 'timesteps': 19, 'ep_reward_avg': 28.202}
{'episode': 3500, 'epsilon': 0.005681818181818182, 'ep_reward': 89.0, 'timesteps': 89, 'ep_reward_avg': 28.46}
{'episode': 4000, 'epsilon': 0.004975124378109453, 'ep_reward': 26.0, 'timesteps': 26, 'ep_reward_avg': 28.804}
{'episode': 4500, 'epsilon': 0.004424778761061947, 'ep_reward': 20.0, 'timesteps': 20, 'ep_reward_avg': 27.188}
{'episode': 5000, 'epsilon': 0.00398406374501992, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 29.906}
{'episode': 5500, 'epsilon': 0.0036231884057971015, 'ep_reward': 20.0, 'timesteps': 20, 'ep_reward_avg': 29.83}
{'episode': 6000, 'epsilon': 0.0033222591362126247, 'ep_reward': 37.0, 'timesteps': 37, 'ep_reward_avg': 31.642}
{'episode': 6500, 'epsilon': 0.003067484662576687, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 30.956}
{'episode': 7000, 'epsilon': 0.002849002849002849, 'ep_reward': 55.0, 'timesteps': 55, 'ep_reward_avg': 34.224}
