/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.00398406374501992, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 22.076}
{'episode': 1000, 'epsilon': 0.001996007984031936, 'ep_reward': 27.0, 'timesteps': 27, 'ep_reward_avg': 23.136}
{'episode': 1500, 'epsilon': 0.0013315579227696406, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 22.212}
{'episode': 2000, 'epsilon': 0.000999000999000999, 'ep_reward': 32.0, 'timesteps': 32, 'ep_reward_avg': 23.49}
{'episode': 2500, 'epsilon': 0.0007993605115907274, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 23.902}
{'episode': 3000, 'epsilon': 0.0006662225183211193, 'ep_reward': 27.0, 'timesteps': 27, 'ep_reward_avg': 22.12}
{'episode': 3500, 'epsilon': 0.0005711022272986865, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 22.692}
{'episode': 4000, 'epsilon': 0.0004997501249375312, 'ep_reward': 24.0, 'timesteps': 24, 'ep_reward_avg': 24.01}
{'episode': 4500, 'epsilon': 0.000444247001332741, 'ep_reward': 34.0, 'timesteps': 34, 'ep_reward_avg': 22.776}
{'episode': 5000, 'epsilon': 0.00039984006397441024, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 21.876}
{'episode': 5500, 'epsilon': 0.0003635041802980734, 'ep_reward': 28.0, 'timesteps': 28, 'ep_reward_avg': 22.536}
{'episode': 6000, 'epsilon': 0.0003332222592469177, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 22.396}
{'episode': 6500, 'epsilon': 0.00030759766225776686, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 23.11}
{'episode': 7000, 'epsilon': 0.00028563267637817766, 'ep_reward': 32.0, 'timesteps': 32, 'ep_reward_avg': 22.92}
{'episode': 7500, 'epsilon': 0.00026659557451346307, 'ep_reward': 31.0, 'timesteps': 31, 'ep_reward_avg': 23.45}
{'episode': 8000, 'epsilon': 0.00024993751562109475, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 22.54}
{'episode': 8500, 'epsilon': 0.0002352387673488591, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 22.58}
{'episode': 9000, 'epsilon': 0.00022217285047767163, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 22.456}
{'episode': 9500, 'epsilon': 0.00021048200378867606, 'ep_reward': 25.0, 'timesteps': 25, 'ep_reward_avg': 22.988}
{'episode': 10000, 'epsilon': 0.0001999600079984003, 'ep_reward': 29.0, 'timesteps': 29, 'ep_reward_avg': 22.48}
{'episode': 10500, 'epsilon': 0.00019043991620643687, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 22.66}
{'episode': 11000, 'epsilon': 0.00018178512997636792, 'ep_reward': 27.0, 'timesteps': 27, 'ep_reward_avg': 23.324}
{'episode': 11500, 'epsilon': 0.0001738828029907842, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 23.348}
{'episode': 12000, 'epsilon': 0.00016663889351774705, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 22.57}
{'episode': 12500, 'epsilon': 0.00015997440409534473, 'ep_reward': 36.0, 'timesteps': 36, 'ep_reward_avg': 23.61}
{'episode': 13000, 'epsilon': 0.00015382248884786957, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 22.792}
{'episode': 13500, 'epsilon': 0.00014812620352540364, 'ep_reward': 34.0, 'timesteps': 34, 'ep_reward_avg': 22.862}
{'episode': 14000, 'epsilon': 0.00014283673760891302, 'ep_reward': 31.0, 'timesteps': 31, 'ep_reward_avg': 22.788}
{'episode': 14500, 'epsilon': 0.00013791201213625708, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 22.716}
{'episode': 15000, 'epsilon': 0.0001333155579256099, 'ep_reward': 31.0, 'timesteps': 31, 'ep_reward_avg': 22.988}
{'episode': 15500, 'epsilon': 0.00012901561088891756, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 23.484}
{'episode': 16000, 'epsilon': 0.00012498437695288088, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 22.138}
{'episode': 16500, 'epsilon': 0.00012119743061447097, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 23.828}
{'episode': 17000, 'epsilon': 0.00011763321962122103, 'ep_reward': 24.0, 'timesteps': 24, 'ep_reward_avg': 22.658}
{'episode': 17500, 'epsilon': 0.00011427265455376528, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 22.714}
{'episode': 18000, 'epsilon': 0.00011109876680368848, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 23.094}
{'episode': 18500, 'epsilon': 0.00010809642200843153, 'ep_reward': 24.0, 'timesteps': 24, 'ep_reward_avg': 22.504}
{'episode': 19000, 'epsilon': 0.00010525207872855489, 'ep_reward': 20.0, 'timesteps': 20, 'ep_reward_avg': 22.718}
{'episode': 19500, 'epsilon': 0.00010255358424776946, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 22.862}
{'episode': 20000, 'epsilon': 9.999000099990002e-05, 'ep_reward': 36.0, 'timesteps': 36, 'ep_reward_avg': 23.448}
