/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.0234375, 'ep_reward': 16.0, 'timesteps': 16, 'ep_reward_avg': 27.708}
{'episode': 1000, 'epsilon': 0.011857707509881422, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 29.418}
{'episode': 1500, 'epsilon': 0.007936507936507936, 'ep_reward': 31.0, 'timesteps': 31, 'ep_reward_avg': 28.572}
{'episode': 2000, 'epsilon': 0.005964214711729622, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 29.392}
{'episode': 2500, 'epsilon': 0.004777070063694267, 'ep_reward': 77.0, 'timesteps': 77, 'ep_reward_avg': 28.592}
{'episode': 3000, 'epsilon': 0.00398406374501992, 'ep_reward': 38.0, 'timesteps': 38, 'ep_reward_avg': 29.856}
{'episode': 3500, 'epsilon': 0.003416856492027335, 'ep_reward': 36.0, 'timesteps': 36, 'ep_reward_avg': 29.906}
{'episode': 4000, 'epsilon': 0.0029910269192422734, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 28.466}
{'episode': 4500, 'epsilon': 0.0026595744680851063, 'ep_reward': 31.0, 'timesteps': 31, 'ep_reward_avg': 36.168}
{'episode': 5000, 'epsilon': 0.0023942537909018356, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 36.396}
{'episode': 5500, 'epsilon': 0.0021770682148040637, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 36.068}
{'episode': 6000, 'epsilon': 0.001996007984031936, 'ep_reward': 30.0, 'timesteps': 30, 'ep_reward_avg': 34.46}
{'episode': 6500, 'epsilon': 0.0018427518427518428, 'ep_reward': 97.0, 'timesteps': 97, 'ep_reward_avg': 35.876}
{'episode': 7000, 'epsilon': 0.0017113519680547634, 'ep_reward': 50.0, 'timesteps': 50, 'ep_reward_avg': 36.224}
{'episode': 7500, 'epsilon': 0.001597444089456869, 'ep_reward': 33.0, 'timesteps': 33, 'ep_reward_avg': 35.328}
{'episode': 8000, 'epsilon': 0.0014977533699450823, 'ep_reward': 62.0, 'timesteps': 62, 'ep_reward_avg': 37.124}
{'episode': 8500, 'epsilon': 0.0014097744360902255, 'ep_reward': 38.0, 'timesteps': 38, 'ep_reward_avg': 38.874}
{'episode': 9000, 'epsilon': 0.0013315579227696406, 'ep_reward': 21.0, 'timesteps': 21, 'ep_reward_avg': 39.124}
{'episode': 9500, 'epsilon': 0.001261564339781329, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 36.988}
{'episode': 10000, 'epsilon': 0.0011985617259288853, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 37.476}
{'episode': 10500, 'epsilon': 0.001141552511415525, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 38.688}
{'episode': 11000, 'epsilon': 0.0010897203051216855, 'ep_reward': 42.0, 'timesteps': 42, 'ep_reward_avg': 37.598}
{'episode': 11500, 'epsilon': 0.0010423905489923557, 'ep_reward': 31.0, 'timesteps': 31, 'ep_reward_avg': 36.13}
{'episode': 12000, 'epsilon': 0.000999000999000999, 'ep_reward': 55.0, 'timesteps': 55, 'ep_reward_avg': 38.956}
{'episode': 12500, 'epsilon': 0.0009590792838874681, 'ep_reward': 23.0, 'timesteps': 23, 'ep_reward_avg': 37.928}
{'episode': 13000, 'epsilon': 0.0009222256378727329, 'ep_reward': 45.0, 'timesteps': 45, 'ep_reward_avg': 37.462}
{'episode': 13500, 'epsilon': 0.0008880994671403197, 'ep_reward': 44.0, 'timesteps': 44, 'ep_reward_avg': 39.55}
{'episode': 14000, 'epsilon': 0.0008564087924636027, 'ep_reward': 46.0, 'timesteps': 46, 'ep_reward_avg': 48.89}
{'episode': 14500, 'epsilon': 0.0008269018743109151, 'ep_reward': 29.0, 'timesteps': 29, 'ep_reward_avg': 62.066}
