/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.8, 'ep_reward': 44.0, 'timesteps': 44, 'ep_reward_avg': 25.19}
{'episode': 1000, 'epsilon': 0.6666666666666666, 'ep_reward': 70.0, 'timesteps': 70, 'ep_reward_avg': 34.91}
{'episode': 1500, 'epsilon': 0.5714285714285714, 'ep_reward': 40.0, 'timesteps': 40, 'ep_reward_avg': 53.148}
{'episode': 2000, 'epsilon': 0.5, 'ep_reward': 41.0, 'timesteps': 41, 'ep_reward_avg': 74.278}
{'episode': 2500, 'epsilon': 0.4444444444444444, 'ep_reward': 121.0, 'timesteps': 121, 'ep_reward_avg': 99.188}
{'episode': 3000, 'epsilon': 0.4, 'ep_reward': 159.0, 'timesteps': 159, 'ep_reward_avg': 109.638}
{'episode': 3500, 'epsilon': 0.36363636363636365, 'ep_reward': 174.0, 'timesteps': 174, 'ep_reward_avg': 123.112}
{'episode': 4000, 'epsilon': 0.3333333333333333, 'ep_reward': 97.0, 'timesteps': 97, 'ep_reward_avg': 124.354}
{'episode': 4500, 'epsilon': 0.3076923076923077, 'ep_reward': 124.0, 'timesteps': 124, 'ep_reward_avg': 127.458}
{'episode': 5000, 'epsilon': 0.2857142857142857, 'ep_reward': 79.0, 'timesteps': 79, 'ep_reward_avg': 126.908}
{'episode': 5500, 'epsilon': 0.26666666666666666, 'ep_reward': 97.0, 'timesteps': 97, 'ep_reward_avg': 131.074}
{'episode': 6000, 'epsilon': 0.25, 'ep_reward': 136.0, 'timesteps': 136, 'ep_reward_avg': 143.648}
{'episode': 6500, 'epsilon': 0.23529411764705882, 'ep_reward': 144.0, 'timesteps': 144, 'ep_reward_avg': 132.56}
{'episode': 7000, 'epsilon': 0.2222222222222222, 'ep_reward': 153.0, 'timesteps': 153, 'ep_reward_avg': 141.066}
{'episode': 7500, 'epsilon': 0.21052631578947367, 'ep_reward': 121.0, 'timesteps': 121, 'ep_reward_avg': 132.392}
{'episode': 8000, 'epsilon': 0.2, 'ep_reward': 191.0, 'timesteps': 191, 'ep_reward_avg': 141.312}
{'episode': 8500, 'epsilon': 0.19047619047619047, 'ep_reward': 96.0, 'timesteps': 96, 'ep_reward_avg': 146.66}
{'episode': 9000, 'epsilon': 0.18181818181818182, 'ep_reward': 38.0, 'timesteps': 38, 'ep_reward_avg': 137.202}
{'episode': 9500, 'epsilon': 0.17391304347826086, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 144.89}
{'episode': 10000, 'epsilon': 0.16666666666666666, 'ep_reward': 119.0, 'timesteps': 119, 'ep_reward_avg': 146.74}
{'episode': 10500, 'epsilon': 0.16, 'ep_reward': 128.0, 'timesteps': 128, 'ep_reward_avg': 142.694}
{'episode': 11000, 'epsilon': 0.15384615384615385, 'ep_reward': 163.0, 'timesteps': 163, 'ep_reward_avg': 143.018}
{'episode': 11500, 'epsilon': 0.14814814814814814, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 147.716}
{'episode': 12000, 'epsilon': 0.14285714285714285, 'ep_reward': 67.0, 'timesteps': 67, 'ep_reward_avg': 144.004}
{'episode': 12500, 'epsilon': 0.13793103448275862, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 134.102}
{'episode': 13000, 'epsilon': 0.13333333333333333, 'ep_reward': 100.0, 'timesteps': 100, 'ep_reward_avg': 149.522}
{'episode': 13500, 'epsilon': 0.12903225806451613, 'ep_reward': 153.0, 'timesteps': 153, 'ep_reward_avg': 156.572}
{'episode': 14000, 'epsilon': 0.125, 'ep_reward': 198.0, 'timesteps': 198, 'ep_reward_avg': 139.142}
{'episode': 14500, 'epsilon': 0.12121212121212122, 'ep_reward': 105.0, 'timesteps': 105, 'ep_reward_avg': 159.656}
{'episode': 15000, 'epsilon': 0.11764705882352941, 'ep_reward': 184.0, 'timesteps': 184, 'ep_reward_avg': 149.84}
{'episode': 15500, 'epsilon': 0.11428571428571428, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 147.528}
{'episode': 16000, 'epsilon': 0.1111111111111111, 'ep_reward': 132.0, 'timesteps': 132, 'ep_reward_avg': 151.356}
{'episode': 16500, 'epsilon': 0.10810810810810811, 'ep_reward': 126.0, 'timesteps': 126, 'ep_reward_avg': 163.48}
{'episode': 17000, 'epsilon': 0.10526315789473684, 'ep_reward': 109.0, 'timesteps': 109, 'ep_reward_avg': 150.984}
{'episode': 17500, 'epsilon': 0.10256410256410256, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 145.29}
{'episode': 18000, 'epsilon': 0.1, 'ep_reward': 179.0, 'timesteps': 179, 'ep_reward_avg': 153.778}
{'episode': 18500, 'epsilon': 0.0975609756097561, 'ep_reward': 93.0, 'timesteps': 93, 'ep_reward_avg': 157.08}
{'episode': 19000, 'epsilon': 0.09523809523809523, 'ep_reward': 191.0, 'timesteps': 191, 'ep_reward_avg': 156.526}
{'episode': 19500, 'epsilon': 0.09302325581395349, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 164.47}
{'episode': 20000, 'epsilon': 0.09090909090909091, 'ep_reward': 180.0, 'timesteps': 180, 'ep_reward_avg': 153.586}
