/m/home/home5/51/nguyenb5/unix/Reinforcement-Learning/venv/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.6666666666666666, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 25.086}
{'episode': 1000, 'epsilon': 0.5, 'ep_reward': 125.0, 'timesteps': 125, 'ep_reward_avg': 47.854}
{'episode': 1500, 'epsilon': 0.4, 'ep_reward': 46.0, 'timesteps': 46, 'ep_reward_avg': 79.656}
{'episode': 2000, 'epsilon': 0.3333333333333333, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 105.836}
{'episode': 2500, 'epsilon': 0.2857142857142857, 'ep_reward': 134.0, 'timesteps': 134, 'ep_reward_avg': 124.662}
{'episode': 3000, 'epsilon': 0.25, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 133.154}
{'episode': 3500, 'epsilon': 0.2222222222222222, 'ep_reward': 87.0, 'timesteps': 87, 'ep_reward_avg': 128.154}
{'episode': 4000, 'epsilon': 0.2, 'ep_reward': 114.0, 'timesteps': 114, 'ep_reward_avg': 142.53}
{'episode': 4500, 'epsilon': 0.18181818181818182, 'ep_reward': 126.0, 'timesteps': 126, 'ep_reward_avg': 138.042}
{'episode': 5000, 'epsilon': 0.16666666666666666, 'ep_reward': 170.0, 'timesteps': 170, 'ep_reward_avg': 133.054}
{'episode': 5500, 'epsilon': 0.15384615384615385, 'ep_reward': 88.0, 'timesteps': 88, 'ep_reward_avg': 142.07}
{'episode': 6000, 'epsilon': 0.14285714285714285, 'ep_reward': 161.0, 'timesteps': 161, 'ep_reward_avg': 135.768}
{'episode': 6500, 'epsilon': 0.13333333333333333, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 141.78}
{'episode': 7000, 'epsilon': 0.125, 'ep_reward': 86.0, 'timesteps': 86, 'ep_reward_avg': 138.884}
{'episode': 7500, 'epsilon': 0.11764705882352941, 'ep_reward': 144.0, 'timesteps': 144, 'ep_reward_avg': 141.87}
{'episode': 8000, 'epsilon': 0.1111111111111111, 'ep_reward': 145.0, 'timesteps': 145, 'ep_reward_avg': 136.804}
{'episode': 8500, 'epsilon': 0.10526315789473684, 'ep_reward': 68.0, 'timesteps': 68, 'ep_reward_avg': 144.86}
{'episode': 9000, 'epsilon': 0.1, 'ep_reward': 137.0, 'timesteps': 137, 'ep_reward_avg': 140.5}
{'episode': 9500, 'epsilon': 0.09523809523809523, 'ep_reward': 108.0, 'timesteps': 108, 'ep_reward_avg': 144.724}
{'episode': 10000, 'epsilon': 0.09090909090909091, 'ep_reward': 140.0, 'timesteps': 140, 'ep_reward_avg': 137.626}
{'episode': 10500, 'epsilon': 0.08695652173913043, 'ep_reward': 173.0, 'timesteps': 173, 'ep_reward_avg': 142.388}
{'episode': 11000, 'epsilon': 0.08333333333333333, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 146.288}
{'episode': 11500, 'epsilon': 0.08, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 149.178}
{'episode': 12000, 'epsilon': 0.07692307692307693, 'ep_reward': 183.0, 'timesteps': 183, 'ep_reward_avg': 148.63}
{'episode': 12500, 'epsilon': 0.07407407407407407, 'ep_reward': 125.0, 'timesteps': 125, 'ep_reward_avg': 148.212}
{'episode': 13000, 'epsilon': 0.07142857142857142, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 162.13}
{'episode': 13500, 'epsilon': 0.06896551724137931, 'ep_reward': 187.0, 'timesteps': 187, 'ep_reward_avg': 141.912}
{'episode': 14000, 'epsilon': 0.06666666666666667, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 158.64}
{'episode': 14500, 'epsilon': 0.06451612903225806, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 165.794}
{'episode': 15000, 'epsilon': 0.0625, 'ep_reward': 123.0, 'timesteps': 123, 'ep_reward_avg': 164.59}
{'episode': 15500, 'epsilon': 0.06060606060606061, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 152.094}
{'episode': 16000, 'epsilon': 0.058823529411764705, 'ep_reward': 132.0, 'timesteps': 132, 'ep_reward_avg': 161.322}
{'episode': 16500, 'epsilon': 0.05714285714285714, 'ep_reward': 150.0, 'timesteps': 150, 'ep_reward_avg': 170.876}
{'episode': 17000, 'epsilon': 0.05555555555555555, 'ep_reward': 152.0, 'timesteps': 152, 'ep_reward_avg': 165.128}
{'episode': 17500, 'epsilon': 0.05405405405405406, 'ep_reward': 144.0, 'timesteps': 144, 'ep_reward_avg': 164.104}
{'episode': 18000, 'epsilon': 0.05263157894736842, 'ep_reward': 136.0, 'timesteps': 136, 'ep_reward_avg': 170.98}
{'episode': 18500, 'epsilon': 0.05128205128205128, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 177.114}
{'episode': 19000, 'epsilon': 0.05, 'ep_reward': 132.0, 'timesteps': 132, 'ep_reward_avg': 164.072}
{'episode': 19500, 'epsilon': 0.04878048780487805, 'ep_reward': 131.0, 'timesteps': 131, 'ep_reward_avg': 157.648}
{'episode': 20000, 'epsilon': 0.047619047619047616, 'ep_reward': 183.0, 'timesteps': 183, 'ep_reward_avg': 145.808}
