
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 17.0}
{'episode': 100, 'epsilon': 0.6666666666666666, 'ep_reward': 11.0, 'loss': 0.07111785560846329, 'q_mean': 1.5636584758758545, 'num_update': 1819}
{'episode': 200, 'epsilon': 0.5, 'ep_reward': 21.0, 'loss': 0.1659243106842041, 'q_mean': 2.717094898223877, 'num_update': 3286}
{'episode': 300, 'epsilon': 0.4, 'ep_reward': 12.0, 'loss': 0.2646852433681488, 'q_mean': 3.686148166656494, 'num_update': 4566}
{'episode': 400, 'epsilon': 0.3333333333333333, 'ep_reward': 32.0, 'loss': 0.6084614992141724, 'q_mean': 4.663548946380615, 'num_update': 6191}
{'episode': 500, 'epsilon': 0.2857142857142857, 'ep_reward': 27.0, 'loss': 0.5311148762702942, 'q_mean': 6.611767768859863, 'num_update': 8864}
{'episode': 600, 'epsilon': 0.25, 'ep_reward': 132.0, 'loss': 1.6331459283828735, 'q_mean': 10.738917350769043, 'num_update': 15346}
{'episode': 700, 'epsilon': 0.2222222222222222, 'ep_reward': 156.0, 'loss': 1.7599048614501953, 'q_mean': 20.88048553466797, 'num_update': 28040}
{'episode': 800, 'epsilon': 0.2, 'ep_reward': 164.0, 'loss': 2.8689396381378174, 'q_mean': 32.65027618408203, 'num_update': 44939}
{'episode': 900, 'epsilon': 0.18181818181818182, 'ep_reward': 190.0, 'loss': 0.7198602557182312, 'q_mean': 44.273441314697266, 'num_update': 63674}
{'episode': 1000, 'epsilon': 0.16666666666666666, 'ep_reward': 200.0, 'loss': 25.335845947265625, 'q_mean': 50.956600189208984, 'num_update': 82796}
{'episode': 1100, 'epsilon': 0.15384615384615385, 'ep_reward': 170.0, 'loss': 0.0557527169585228, 'q_mean': 54.98323440551758, 'num_update': 101691}
{'episode': 1200, 'epsilon': 0.14285714285714285, 'ep_reward': 200.0, 'loss': 3.9240269660949707, 'q_mean': 55.18762969970703, 'num_update': 119827}
